Level,Teritorija,Starost,Spol,Ukupno,Ne školuje se ,Predškolsko obrazovanje  ,Osnovna škola  ,Srednja škola  ,Specijalizacija poslije srednje škole  ,Viša škola ,Stari program - Osnovne akademske studije,Stari program - Specijalističke studije,Stari program - Magistarske studije,Stari program - Doktorske studije,Program po Bolonji - Studij I ciklusa,Program po Bolonji - Studij II ciklusa,Program po Bolonji - Studij integrisanog I i II ciklusa,Program po Bolonji - Studij III ciklusa,,,
0,"BOSNA I HERCEGOVINA                             
BOSNIA AND HERZEGOVINA","Ukupno/ 
Total","Ukupno/ 
Total",3531159,2817469,17234,322316,176444,5485,14431,27536,3518,12960,3899,101140,20978,4187,3562,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA","Ukupno/ 
Total","Muški/ 
Male",1732270,1376956,8850,165486,89556,3056,6968,12764,1510,6131,2050,46554,8975,1743,1671,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA","Ukupno/ 
Total","Ženski/ 
Female",1798889,1440513,8384,156830,86888,2429,7463,14772,2008,6829,1849,54586,12003,2444,1891,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",0 - 2,"Ukupno/ 
Total",101669,101669,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",0 - 2,"Muški/ 
Male",52159,52159,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",0 - 2,"Ženski/ 
Female",49510,49510,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",3,"Ukupno/ 
Total",35874,31848,4026,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",3,"Muški/ 
Male",18414,16379,2035,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",3,"Ženski/ 
Female",17460,15469,1991,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",4,"Ukupno/ 
Total",36521,31647,4874,-,-,-,-,-,-,-,-,-,-,-,-,,,
0,"BOSNA I HERCEGOVINA                              
BOSNIA AND HERZEGOVINA",4,"Muški/ 
Male",18869,16406,2463,-,-,-,-,-,-,-,-,-,-,-,-,,,
